film_id,film,mentions,list_2020,list_2021,list_2022,year,length,mpaa,imdb_categories,imdb_ratings,imdb_stars,imdb_pct10,dr_love,imdb_link,new,,44
95,Me Before You,1,0,1,0,2016,106,PG-13,"Drama, Romance",225762,7.4,15.1,No,https://www.imdb.com/title/tt2674426/,0,,
96,Memento,1,1,0,0,2000,113,R,"Mystery, Thriller",1166969,8.4,22.2,Yes,https://www.imdb.com/title/tt0209144/,0,,
97,Memoirs of a Geisha,1,0,0,1,2005,145,PG-13,"Drama, Romance",149380,7.3,13.3,No,https://www.imdb.com/title/tt0397535,1,,
98,Mission Impossible II,1,1,0,0,2000,123,PG-13,"Action, Adventure, Thriller",324955,6.1,3.7,Yes,https://www.imdb.com/title/tt0120755/,0,,
99,Moneyball,1,0,0,1,2011,133,PG-13,"Biography, Drama, Sport",419405,7.6,7.1,Yes,https://www.imdb.com/title/tt1210166,1,,
100,Monte Carlo,1,1,0,0,2011,109,PG,"Adventure, Comedy, Family",42676,5.8,13.4,No,https://www.imdb.com/title/tt1067774/,0,,
101,Moonlight,1,0,1,0,2016,111,R,Drama,287970,7.4,11.3,No,https://www.imdb.com/title/tt4975722/,0,,
102,My Big Fat Greek Wedding,1,1,0,0,2002,95,PG,"Comedy, Drama, Romance",124279,6.6,9,No,https://www.imdb.com/title/tt0259446/,0,,
103,My Fair Lady,1,0,0,1,1964,170,G,"Drama, Family, Musical",95444,7.8,18.7,Yes,https://www.imdb.com/title/tt0058385,1,,
104,Mystery Men,1,0,1,0,1999,121,PG-13,"Action, Comedy, Fantasy",64765,6.1,6.4,Yes,https://www.imdb.com/title/tt0132347/,0,,
105,No Country for Old Men,1,0,0,1,2007,122,R,"Crime, Drama, Thriller",958159,8.2,17.8,No,https://www.imdb.com/title/tt0477348,1,,
106,Notting Hill,1,1,0,0,1999,124,PG-13,"Comedy, Drama, Romance",289594,7.1,9.6,Yes,https://www.imdb.com/title/tt0125439/,0,,
107,Pather Panchali,1,1,0,0,1955,125,NR,Drama,28215,8.5,39.6,No,https://www.imdb.com/title/tt0048473/,0,,
108,The Parent Trap,1,1,0,0,1998,128,PG,"Adventure, Comedy, Drama",127301,6.6,12.1,No,https://www.imdb.com/title/tt0120783/,0,,
109,The Peanut Butter Falcon,1,0,0,1,2019,97,PG-13,"Adventure, Comedy, Drama",89173,7.6,10.7,No,https://www.imdb.com/title/tt4364194,1,,
110,The Perks of Being A Wallflower,1,0,0,1,2012,103,PG-13,Drama,506461,8.0,19.1,No,https://www.imdb.com/title/tt1659337,1,,
111,The Pianist,1,0,0,1,2002,150,R,"Biography, Drama, Music",819314,8.5,23.3,No,https://www.imdb.com/title/tt0253474,1,,
112,The Platform,1,0,1,0,2019,94,NR,"Horror, Sci-Fi, Thriller",187757,7.0,5.7,No,https://www.imdb.com/title/tt8228288/,0,,
113,Porco Rosso,1,0,1,0,1992,94,PG,"Animation, Adventure, Comedy",82897,7.7,12.2,No,https://www.imdb.com/title/tt0104652/,0,,
